,ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCC_A10_C,RCC_A17_C,RCC_A2_C,RCC_A34_C,RCC_A49_C,RCC_A64_C,RCC_A65P_C,RCC_AU_C,RCC_BAB_C,RCC_BA_C,RCC_BB_C,RCC_BO_C,RCC_BMI20_C,RCC_BMI25_C,RCC_BMI30_C,RCC_BMI31P_C,RCC_BMINR_C,RCC_BU_C,RCC_GF_C,RCC_GM_C,RCC_GU_C,RCC_ICU_C,RCC_HOSPNR_C,RCC_HOSP_C,RCC_PTXN_C,RCC_PTXU_C,RCC_PTXY_C,RCC_NOTHOSP_C,RCC_N_C,YEAR,MONTH,D_OR_L
52,Cleveland Clinic Florida Weston (FLCC),FLCC,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,14.018691589,22.429906542,36.448598131,27.102803739,0.0,4.6728971963,33.644859813,11.214953271,50.46728972,11.214953271,33.644859813,26.168224299,28.971962616499997,0.0,0.0,43.925233645,56.074766355,0.0,0.0,100.0,0.0,82.242990654,0.0,17.757009346,0.0,107,2020,11,DECEASED
53,Florida Hospital Medical Center (FLFH),FLFH,TX1,2021-01-04 18:00:00,KI,2.0689655172,2.0689655172,0.0,11.724137931,34.482758621,35.172413793,14.4827586207,0.0,5.5172413793,40.0,6.2068965517,48.275862069,8.275862069,25.517241379,35.172413793,31.0344827588,0.0,0.0,37.24137931,62.75862069,0.0,0.0,100.0,0.0,91.034482759,0.0,8.9655172414,0.0,145,2020,11,DECEASED
54,Halifax Medical Center (FLHM),FLHM,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,23.80952381,19.047619048,38.095238095,19.0476190479,0.0,14.285714286,42.857142857,0.0,42.857142857,4.7619047619,38.095238095,23.80952381,19.047619048,14.285714286,0.0,38.095238095,61.904761905,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,21,2020,11,DECEASED
55,Jackson Memorial Hospital University of Miami School of Medicine (FLJM),FLJM,TX1,2021-01-04 18:00:00,KI,0.6507592191,1.3015184382,0.2169197397,5.6399132321,19.739696312,52.494577007,19.9566160519,0.0,5.4229934924,29.501084599,9.978308026,55.097613883,8.8937093275,34.707158351,31.019522777,25.3796095445,0.0,0.0,34.273318872,65.726681128,0.0,0.0,100.0,0.0,93.275488069,0.0,6.7245119306,0.0,461,2020,11,DECEASED
56,Largo Medical Center (FLLM),FLLM,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,26.19047619,16.666666667,40.476190476,16.6666666669,0.0,4.7619047619,38.095238095,9.5238095238,47.619047619,4.7619047619,38.095238095,30.952380952,26.19047619,0.0,0.0,28.571428571,71.428571429,0.0,0.0,100.0,0.0,97.619047619,0.0,2.380952381,0.0,42,2020,11,DECEASED
57,Memorial Regional Hospital (FLMR),FLMR,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,9.6774193548,35.483870968,38.709677419,16.129032258,0.0,3.2258064516,25.806451613,19.35483871,51.612903226,9.6774193548,29.032258065,41.935483871,19.3548387096,0.0,0.0,32.258064516,67.741935484,0.0,0.0,100.0,0.0,96.774193548,0.0,3.2258064516,0.0,31,2020,11,DECEASED
58,Sacred Heart Hospital Pensacola (FLSH),FLSH,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,22.727272727,36.363636364,31.818181818,9.090909091,0.0,22.727272727,36.363636364,9.0909090909,31.818181818,4.5454545455,27.272727273,27.272727273,40.9090909095,0.0,0.0,50.0,50.0,0.0,0.0,100.0,0.0,90.909090909,0.0,9.0909090909,0.0,22,2020,11,DECEASED
59,Mayo Clinic Florida (FLSL),FLSL,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,8.8888888889,24.444444444,35.555555556,31.111111111,0.0,4.4444444444,37.037037037,14.814814815,43.703703704,4.4444444444,30.37037037,26.666666667,38.51851851880001,0.0,0.0,32.592592593,67.407407407,0.0,0.0,100.0,0.0,85.925925926,0.0,14.074074074,0.0,135,2020,11,DECEASED
60,Tampa General Hospital (FLTG),FLTG,TX1,2021-01-04 18:00:00,KI,0.7117437722,2.1352313167,0.0,9.9644128114,22.419928826,38.434163701,26.334519573,0.0,5.3380782918,43.416370107,10.320284698,40.925266904,8.896797153,32.028469751,31.672597865,27.402135231099997,0.0,0.0,36.298932384,63.701067616,0.0,0.0,100.0,0.0,88.612099644,0.0,11.387900356,0.0,281,2020,11,DECEASED
61,UF Health Shands Hospital (FLUF),FLUF,TX1,2021-01-04 18:00:00,KI,1.2820512821,5.1282051282,0.0,12.820512821,20.512820513,42.307692308,17.948717949200002,0.0,8.9743589744,32.051282051,10.256410256,48.717948718,12.820512821,26.923076923,30.769230769,29.4871794871,0.0,0.0,51.282051282,48.717948718,0.0,0.0,100.0,0.0,88.461538462,0.0,11.538461538,0.0,78,2020,11,DECEASED
62,Children's Healthcare of Atlanta at Egleston (GAEH),GAEH,TX1,2021-01-04 18:00:00,KI,30.0,60.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,40.0,30.0,20.0,50.0,30.0,10.0,0.0,10.0,0.0,30.0,70.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,10,2020,11,DECEASED
63,Emory University Hospital (GAEM),GAEM,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,8.9108910891,30.198019802,43.069306931,17.8217821784,0.0,7.9207920792,38.118811881,15.841584158,38.118811881,6.9306930693,27.227722772,36.633663366,29.2079207917,0.0,0.0,50.0,50.0,0.0,0.0,100.0,0.0,81.683168317,0.0,18.316831683,0.0,202,2020,11,DECEASED
64,"AU Medical Center, Inc. (GAMC)",GAMC,TX1,2021-01-04 18:00:00,KI,1.3513513514,8.1081081081,0.0,10.810810811,28.378378378,39.189189189,12.1621621624,0.0,9.4594594595,37.837837838,12.162162162,40.540540541,5.4054054054,35.135135135,32.432432432,27.027027027399996,0.0,0.0,35.135135135,64.864864865,0.0,0.0,100.0,0.0,86.486486486,0.0,13.513513514,0.0,74,2020,11,DECEASED
65,Piedmont Hospital (GAPH),GAPH,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,6.4102564103,30.769230769,45.512820513,17.3076923082,0.0,8.9743589744,29.487179487,17.948717949,43.58974359,4.4871794872,30.769230769,31.41025641,30.1282051283,3.2051282051,0.0,45.512820513,54.487179487,0.0,0.0,100.0,0.0,87.820512821,0.0,12.179487179,0.0,156,2020,11,DECEASED
66,Children's Hospital (LACH),LACH,TX1,2021-01-04 18:00:00,KI,50.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,75.0,75.0,0.0,25.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,4,2020,11,DECEASED
67,Ochsner Foundation Hospital (LAOF),LAOF,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,8.4615384615,24.615384615,47.692307692,19.2307692308,0.0,2.3076923077,35.384615385,13.076923077,49.230769231,6.9230769231,20.769230769,36.153846154,34.615384614999996,1.5384615385,0.0,50.0,50.0,0.0,0.0,100.0,0.0,83.076923077,0.0,16.923076923,0.0,130,2020,11,DECEASED
68,Tulane Medical Center (LATU),LATU,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,7.4626865672,32.835820896,43.28358209,16.4179104477,0.0,7.4626865672,28.358208955,5.9701492537,58.208955224,2.9850746269,22.388059701,38.805970149,35.8208955229,0.0,0.0,49.253731343,50.746268657,0.0,0.0,100.0,0.0,82.089552239,0.0,17.910447761,0.0,67,2020,11,DECEASED
69,Willis-Knighton Medical Center (LAWK),LAWK,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,17.647058824,31.37254902,41.176470588,9.8039215687,0.0,0.0,31.37254902,11.764705882,56.862745098,1.9607843137,39.215686275,23.529411765,33.3333333334,1.9607843137,0.0,35.294117647,64.705882353,0.0,0.0,100.0,0.0,86.274509804,0.0,13.725490196,0.0,51,2020,11,DECEASED
70,University of Mississippi Medical Center (MSUM),MSUM,TX1,2021-01-04 18:00:00,KI,0.9259259259,1.8518518519,0.0,11.111111111,32.407407407,38.888888889,14.814814814800002,0.0,6.4814814815,37.962962963,14.814814815,40.740740741,5.5555555556,23.148148148,26.851851852,44.44444444490001,0.0,0.0,47.222222222,52.777777778,0.0,0.0,100.0,0.0,91.666666667,0.0,8.3333333333,0.0,108,2020,11,DECEASED
71,Auxilio Mutuo Hospital (PRSJ),PRSJ,TX1,2021-01-04 18:00:00,KI,1.2820512821,2.5641025641,0.0,8.9743589744,24.358974359,41.025641026,21.7948717953,0.0,1.2820512821,38.461538462,17.948717949,42.307692308,10.256410256,29.487179487,38.461538462,21.7948717951,0.0,0.0,34.615384615,65.384615385,0.0,0.0,100.0,0.0,97.435897436,0.0,2.5641025641,0.0,78,2020,11,DECEASED
72,Integris Baptist Medical Center (OKBC),OKBC,TX1,2021-01-04 18:00:00,KI,0.0,2.7397260274,0.0,9.5890410959,34.246575342,34.246575342,19.1780821918,0.0,8.2191780822,36.98630137,12.328767123,42.465753425,6.8493150685,28.767123288,23.287671233,41.0958904104,0.0,0.0,36.98630137,63.01369863,0.0,0.0,100.0,0.0,87.671232877,0.0,12.328767123,0.0,73,2020,11,DECEASED
73,OU Medical Center (OKMD),OKMD,TX1,2021-01-04 18:00:00,KI,12.121212121,3.0303030303,0.0,12.121212121,21.212121212,30.303030303,21.2121212126,0.0,6.0606060606,39.393939394,6.0606060606,48.484848485,18.181818182,18.181818182,21.212121212,42.4242424239,0.0,0.0,54.545454545,45.454545455,0.0,0.0,100.0,0.0,96.96969697,0.0,3.0303030303,0.0,33,2020,11,DECEASED
74,St John Medical Center (OKSJ),OKSJ,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,16.981132075,24.528301887,39.622641509,18.867924528499998,0.0,1.8867924528,37.735849057,15.094339623,45.283018868,3.7735849057,22.641509434,35.849056604,37.735849057,0.0,0.0,37.735849057,62.264150943,0.0,0.0,100.0,0.0,81.132075472,0.0,18.867924528,0.0,53,2020,11,DECEASED
75,Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS),TXAS,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,5.4347826087,28.260869565,44.565217391,21.739130434899998,0.0,15.217391304,25.0,10.869565217,48.913043478,10.869565217,23.913043478,35.869565217,29.347826087,0.0,0.0,39.130434783,60.869565217,0.0,0.0,100.0,0.0,92.391304348,0.0,7.6086956522,0.0,92,2020,11,DECEASED
76,"University Hospital, University of Texas Health Science Center (TXBC)",TXBC,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,15.909090909,28.409090909,39.772727273,15.9090909091,0.0,1.1363636364,27.272727273,20.454545455,51.136363636,7.9545454545,34.090909091,20.454545455,37.5000000001,0.0,0.0,35.227272727,64.772727273,0.0,0.0,100.0,0.0,85.227272727,0.0,14.772727273,0.0,88,2020,11,DECEASED
77,Cook Children's Medical Center (TXCF),TXCF,TX1,2021-01-04 18:00:00,KI,42.857142857,42.857142857,0.0,14.285714286,0.0,0.0,0.0,0.0,21.428571429,21.428571429,7.1428571429,50.0,71.428571429,14.285714286,0.0,14.2857142858,0.0,0.0,50.0,50.0,0.0,0.0,100.0,0.0,92.857142857,0.0,7.1428571429,0.0,14,2020,11,DECEASED
78,Children's Medical Center of Dallas (TXCM),TXCM,TX1,2021-01-04 18:00:00,KI,66.666666667,33.333333333,0.0,0.0,0.0,0.0,0.0,0.0,11.111111111,33.333333333,11.111111111,44.444444444,77.777777778,11.111111111,11.111111111,0.0,0.0,0.0,44.444444444,55.555555556,0.0,0.0,100.0,0.0,88.888888889,0.0,11.111111111,0.0,9,2020,11,DECEASED
79,Driscoll Children's Hospital (TXDC),TXDC,TX1,2021-01-04 18:00:00,KI,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,50.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,4,2020,11,DECEASED
80,North Austin Medical Center (TXDM),TXDM,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,6.4516129032,25.806451613,32.258064516,35.483870968,0.0,4.8387096774,35.483870968,17.741935484,41.935483871,8.064516129,32.258064516,20.967741935,38.7096774198,0.0,0.0,41.935483871,58.064516129,0.0,0.0,100.0,0.0,85.483870968,0.0,14.516129032,0.0,62,2020,11,DECEASED
81,Doctor's Hospital at Renaissance (TXDR),TXDR,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,16.666666667,25.0,25.0,33.333333333,0.0,0.0,25.0,8.3333333333,66.666666667,0.0,41.666666667,16.666666667,41.6666666663,0.0,0.0,25.0,75.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,12,2020,11,DECEASED
82,Texas Health Harris Methodist Fort Worth Hospital (TXFW),TXFW,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,17.857142857,21.428571429,42.857142857,17.8571428569,0.0,0.0,28.571428571,28.571428571,42.857142857,0.0,17.857142857,28.571428571,53.5714285714,0.0,0.0,35.714285714,64.285714286,0.0,0.0,100.0,0.0,85.714285714,0.0,14.285714286,0.0,28,2020,11,DECEASED
83,Medical City Dallas Hospital (TXHD),TXHD,TX1,2021-01-04 18:00:00,KI,0.0,1.0416666667,0.0,13.541666667,29.166666667,37.5,18.7500000003,0.0,3.125,42.708333333,18.75,35.416666667,13.541666667,32.291666667,32.291666667,21.874999999699998,0.0,0.0,35.416666667,64.583333333,0.0,0.0,100.0,0.0,87.5,0.0,12.5,0.0,96,2020,11,DECEASED
84,"Memorial Hermann Hospital, University of Texas at Houston (TXHH)",TXHH,TX1,2021-01-04 18:00:00,KI,9.0909090909,4.5454545455,4.5454545455,11.363636364,22.727272727,31.818181818,15.9090909095,0.0,9.0909090909,20.454545455,11.363636364,59.090909091,18.181818182,40.909090909,25.0,15.909090908700001,0.0,0.0,31.818181818,68.181818182,0.0,0.0,100.0,0.0,79.545454545,0.0,20.454545455,0.0,44,2020,11,DECEASED
85,CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI),TXHI,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,22.448979592,16.326530612,37.755102041,23.4693877554,0.0,6.1224489796,34.693877551,9.1836734694,50.0,7.1428571429,27.551020408,35.714285714,29.5918367343,0.0,0.0,45.918367347,54.081632653,0.0,0.0,100.0,0.0,89.795918367,0.0,10.204081633,0.0,98,2020,11,DECEASED
86,Methodist Specialty and Transplant Hospital (TXHS),TXHS,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,18.390804598,34.482758621,39.655172414,7.4712643678,0.0,5.7471264368,29.885057471,16.091954023,48.275862069,8.6206896552,22.413793103,29.885057471,39.0804597701,0.0,0.0,48.275862069,51.724137931,0.0,0.0,100.0,0.0,89.08045977,0.0,10.91954023,0.0,174,2020,11,DECEASED
87,University of Texas Medical Branch at Galveston (TXJS),TXJS,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,14.634146341,32.926829268,32.926829268,19.5121951217,0.0,2.4390243902,34.146341463,18.292682927,45.12195122,2.4390243902,30.487804878,35.365853659,31.707317073600002,0.0,0.0,36.585365854,63.414634146,0.0,0.0,100.0,0.0,86.585365854,0.0,13.414634146,0.0,82,2020,11,DECEASED
88,Las Palmas Medical Center (TXLP),TXLP,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,8.0,12.0,56.0,24.0,0.0,8.0,40.0,16.0,36.0,8.0,8.0,36.0,48.0,0.0,0.0,36.0,64.0,0.0,0.0,100.0,0.0,96.0,0.0,4.0,0.0,25,2020,11,DECEASED
89,Methodist Dallas Medical Center (TXMC),TXMC,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,10.588235294,24.705882353,47.058823529,17.6470588232,0.0,2.3529411765,31.764705882,17.647058824,48.235294118,7.0588235294,28.235294118,36.470588235,24.705882352899998,3.5294117647,0.0,49.411764706,50.588235294,0.0,0.0,100.0,0.0,78.823529412,0.0,21.176470588,0.0,85,2020,11,DECEASED
90,Houston Methodist Hospital (TXMH),TXMH,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,15.447154472,25.203252033,35.772357724,23.5772357728,0.0,5.6910569106,33.333333333,16.260162602,44.715447154,9.756097561,30.081300813,29.268292683,30.081300813000002,0.8130081301,0.0,41.463414634,58.536585366,0.0,0.0,100.0,0.0,83.739837398,0.0,16.260162602,0.0,123,2020,11,DECEASED
91,Medical City Fort Worth (TXPL),TXPL,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,11.70212766,20.212765957,42.553191489,25.531914894,0.0,1.0638297872,35.106382979,12.765957447,51.063829787,6.3829787234,29.787234043,36.170212766,27.6595744679,0.0,0.0,38.29787234,61.70212766,0.0,0.0,100.0,0.0,97.872340426,0.0,2.1276595745,0.0,94,2020,11,DECEASED
92,Parkland Health and Hospital System (TXPM),TXPM,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,9.0909090909,45.454545455,45.454545455,0.0,0.0,9.0909090909,54.545454545,9.0909090909,27.272727273,9.0909090909,36.363636364,27.272727273,27.2727272729,0.0,0.0,54.545454545,45.454545455,0.0,0.0,100.0,0.0,81.818181818,0.0,18.181818182,0.0,11,2020,11,DECEASED
93,UT Southwestern Medical Center/ (TXSP),TXSP,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,11.363636364,17.613636364,41.477272727,29.545454545,0.0,6.8181818182,31.25,14.772727273,47.159090909,6.8181818182,28.409090909,28.977272727,35.795454545,0.0,0.0,44.886363636,55.113636364,0.0,0.0,100.0,0.0,87.5,0.0,12.5,0.0,176,2020,11,DECEASED
94,Scott and White Memorial Hospital (TXSW),TXSW,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,4.7169811321,31.132075472,38.679245283,25.4716981132,0.0,3.7735849057,30.188679245,21.698113208,44.339622642,4.7169811321,23.58490566,23.58490566,46.226415094800004,1.8867924528,0.0,34.905660377,65.094339623,0.0,0.0,100.0,0.0,80.188679245,0.0,19.811320755,0.0,106,2020,11,DECEASED
95,Texas Children's Hospital (TXTC),TXTC,TX1,2021-01-04 18:00:00,KI,37.5,45.833333333,0.0,16.666666667,0.0,0.0,0.0,0.0,0.0,16.666666667,12.5,70.833333333,66.666666667,16.666666667,8.3333333333,8.3333333333,0.0,0.0,41.666666667,58.333333333,0.0,0.0,100.0,0.0,95.833333333,0.0,4.1666666667,0.0,24,2020,11,DECEASED
96,Baylor University Medical Center (TXTX),TXTX,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,8.9285714286,22.321428571,43.75,25.0,0.0,1.7857142857,32.142857143,16.964285714,49.107142857,11.607142857,33.035714286,30.357142857,24.9999999999,0.0,0.0,48.214285714,51.785714286,0.0,0.0,100.0,0.0,83.928571429,0.0,16.071428571,0.0,112,2020,11,DECEASED
97,University Childrens Health (TXUC,TXUC,TX1,2021-01-04 18:00:00,KI,40.0,40.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,80.0,40.0,20.0,20.0,20.0,0.0,0.0,20.0,80.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,5,2020,11,DECEASED
98,Michael E. DeBakey VA Medical Center (TXVA),TXVA,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,3.8461538462,7.6923076923,73.076923077,15.3846153842,0.0,3.8461538462,38.461538462,19.230769231,38.461538462,11.538461538,26.923076923,34.615384615,26.923076923,0.0,0.0,7.6923076923,92.307692308,0.0,0.0,100.0,0.0,96.153846154,0.0,3.8461538462,0.0,26,2020,11,DECEASED
99,Phoenix Children's Hospital (AZCH),AZCH,TX1,2021-01-04 18:00:00,KI,22.222222222,77.777777778,0.0,0.0,0.0,0.0,0.0,0.0,11.111111111,22.222222222,0.0,66.666666667,44.444444444,22.222222222,11.111111111,22.222222222,0.0,0.0,77.777777778,22.222222222,0.0,0.0,100.0,0.0,88.888888889,0.0,11.111111111,0.0,9,2020,11,DECEASED
100,Banner-University Medical Center Phoenix (AZGS),AZGS,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,9.2783505155,26.804123711,44.329896907,19.5876288664,0.0,3.0927835052,42.268041237,10.309278351,44.329896907,6.1855670103,20.618556701,41.237113402,31.958762886400002,0.0,0.0,42.268041237,57.731958763,0.0,0.0,100.0,0.0,92.783505155,0.0,7.2164948454,0.0,97,2020,11,DECEASED
101,Mayo Clinic Hospital (AZMC),AZMC,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,9.6354166667,22.395833333,37.239583333,30.729166665999998,0.0,4.9479166667,39.0625,13.28125,42.708333333,10.416666667,27.604166667,33.072916667,28.9062500004,0.0,0.0,37.5,62.5,0.0,0.0,100.0,0.0,86.71875,0.0,13.28125,0.0,384,2020,11,DECEASED
102,St. Joseph's Hospital and Medical Center (AZSJ),AZSJ,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,18.75,18.75,62.5,0.0,0.0,6.25,56.25,12.5,25.0,12.5,31.25,18.75,37.5,0.0,0.0,31.25,68.75,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,16,2020,11,DECEASED
103,Banner University Medical Center-Tucson (AZUA),AZUA,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,6.7567567568,21.621621622,51.351351351,20.2702702705,0.0,2.7027027027,36.486486486,12.162162162,48.648648649,4.0540540541,25.675675676,40.540540541,29.729729730099997,0.0,0.0,51.351351351,48.648648649,0.0,0.0,100.0,0.0,90.540540541,0.0,9.4594594595,0.0,74,2020,11,DECEASED
104,Rady Children's Hospital and Health Center (CACH),CACH,TX1,2021-01-04 18:00:00,KI,42.857142857,57.142857143,0.0,0.0,0.0,0.0,0.0,0.0,14.285714286,14.285714286,0.0,71.428571429,71.428571429,14.285714286,14.285714286,0.0,0.0,0.0,14.285714286,85.714285714,0.0,0.0,100.0,0.0,85.714285714,0.0,14.285714286,0.0,7,2020,11,DECEASED
105,Childrens Hospital Los Angeles (CACL),CACL,TX1,2021-01-04 18:00:00,KI,37.931034483,51.724137931,0.0,10.344827586,0.0,0.0,0.0,0.0,0.0,20.689655172,10.344827586,68.965517241,65.517241379,17.24137931,13.793103448,3.4482758621,0.0,0.0,55.172413793,44.827586207,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,29,2020,11,DECEASED
106,Cedars-Sinai Medical Center (CACS),CACS,TX1,2021-01-04 18:00:00,KI,0.0,1.4285714286,0.0,7.619047619,25.238095238,40.476190476,25.238095238,0.0,2.8571428571,30.476190476,18.095238095,48.571428571,11.904761905,35.238095238,33.333333333,19.5238095237,0.0,0.0,40.952380952,59.047619048,0.0,0.0,100.0,0.0,79.047619048,0.0,20.952380952,0.0,210,2020,11,DECEASED
107,Scripps Green Hospital (CAGH),CAGH,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,3.3333333333,18.333333333,40.0,38.333333333,0.0,5.0,33.333333333,11.666666667,50.0,13.333333333,28.333333333,43.333333333,13.333333333,1.6666666667,0.0,58.333333333,41.666666667,0.0,0.0,100.0,0.0,91.666666667,0.0,8.3333333333,0.0,60,2020,11,DECEASED
108,University of California Irvine Medical Center (CAIM),CAIM,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,17.525773196,30.927835052,40.206185567,11.3402061856,0.0,6.1855670103,37.113402062,16.494845361,40.206185567,10.309278351,17.525773196,25.773195876,9.2783505155,37.113402062,0.0,48.453608247,51.546391753,0.0,0.0,100.0,0.0,92.783505155,0.0,7.2164948454,0.0,97,2020,11,DECEASED
109,Harbor UCLA Medical Center (CALA),CALA,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,20.0,56.0,24.0,0.0,0.0,4.0,12.0,8.0,76.0,16.0,48.0,32.0,4.0,0.0,0.0,24.0,76.0,0.0,0.0,100.0,0.0,88.0,0.0,12.0,0.0,25,2020,11,DECEASED
110,Loma Linda University Medical Center (CALL),CALL,TX1,2021-01-04 18:00:00,KI,2.2857142857,1.7142857143,0.0,16.0,24.571428571,36.571428571,18.857142857,0.0,2.8571428571,33.714285714,14.285714286,49.142857143,9.7142857143,34.285714286,32.571428571,23.4285714285,0.0,0.0,41.142857143,58.857142857,0.0,0.0,100.0,0.0,82.285714286,0.0,17.714285714,0.0,175,2020,11,DECEASED
111,UCSF Medical Center at Mission Bay (CAMB),CAMB,TX1,2021-01-04 18:00:00,KI,22.222222222,77.777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333,22.222222222,44.444444444,55.555555556,22.222222222,22.222222222,0.0,0.0,0.0,55.555555556,44.444444444,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,9,2020,11,DECEASED
112,Lucile Salter Packard Children's Hospital at Stanford (CAPC),CAPC,TX1,2021-01-04 18:00:00,KI,55.555555556,33.333333333,0.0,11.111111111,0.0,0.0,0.0,0.0,0.0,16.666666667,5.5555555556,77.777777778,66.666666667,22.222222222,0.0,0.0,11.111111111,0.0,77.777777778,22.222222222,0.0,0.0,100.0,0.0,94.444444444,0.0,5.5555555556,0.0,18,2020,11,DECEASED
113,California Pacific Medical Center (CAPM),CAPM,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,14.207650273,28.415300546,36.612021858,20.7650273219,0.0,9.8360655738,27.868852459,15.300546448,46.994535519,9.2896174863,34.426229508,29.508196721,25.136612022,1.6393442623,0.0,34.426229508,65.573770492,0.0,0.0,100.0,0.0,91.803278689,0.0,8.1967213115,0.0,183,2020,11,DECEASED
114,University of California San Diego Medical Center (CASD),CASD,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,10.891089109,30.693069307,38.613861386,19.801980198400003,0.0,4.9504950495,38.613861386,10.891089109,45.544554455,10.891089109,40.594059406,29.702970297,18.8118811877,0.0,0.0,31.683168317,68.316831683,0.0,0.0,100.0,0.0,93.069306931,0.0,6.9306930693,0.0,101,2020,11,DECEASED
115,University of California San Francisco Medical Center (CASF),CASF,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,8.9795918367,24.897959184,42.040816327,24.081632653299998,0.0,3.2653061224,33.469387755,22.857142857,40.408163265,8.5714285714,40.0,23.673469388,26.9387755102,0.8163265306,0.0,42.448979592,57.551020408,0.0,0.0,100.0,0.0,87.346938776,0.0,12.653061224,0.0,245,2020,11,DECEASED
116,Sharp Memorial Hospital (CASH),CASH,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,12.244897959,32.653061224,36.734693878,18.3673469386,0.0,8.1632653061,30.612244898,18.367346939,42.857142857,16.326530612,24.489795918,26.530612245,32.653061224,0.0,0.0,38.775510204,61.224489796,0.0,0.0,100.0,0.0,89.795918367,0.0,10.204081633,0.0,49,2020,11,DECEASED
117,Saint Joseph Hospital (CASJ),CASJ,TX1,2021-01-04 18:00:00,KI,0.0,0.0,0.0,20.0,40.0,30.0,10.0,0.0,0.0,30.0,5.0,65.0,25.0,20.0,30.0,25.0,0.0,0.0,70.0,30.0,0.0,0.0,100.0,0.0,95.0,0.0,5.0,0.0,20,2020,11,DECEASED
118,University of California Davis Medical Center (CASM),CASM,TX1,2021-01-04 18:00:00,KI,0.9216589862,1.3824884793,0.0,18.894009217,28.110599078,34.101382488,16.5898617512,0.0,5.5299539171,34.101382488,11.520737327,48.847926267,11.059907834,35.023041475,37.788018433,16.1290322585,0.0,0.0,36.866359447,63.133640553,0.0,0.0,100.0,0.0,89.400921659,0.0,10.599078341,0.0,217,2020,11,DECEASED
