ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,GSR_AD_OBS_C1M,GSR_AD_OBS_C1Y,GSR_AD_OBS_C3Y,GSR_AD_ACT_C1M,GSR_AD_ACT_C1Y,GSR_AD_ACT_C3Y,GSR_AD_ADJ_C1M,GSR_AD_ADJ_C1Y,GSR_AD_ADJ_C3Y,GSR_AD_EXP_C1M,GSR_AD_EXP_C1Y,GSR_AD_EXP_C3Y,GSR_AD_N_C1M,GSR_AD_N_C1Y,GSR_AD_N_C3Y,GSR_P0_OBS_C1M,GSR_P0_OBS_C1Y,GSR_P0_OBS_C3Y,GSR_P0_ACT_C1M,GSR_P0_ACT_C1Y,GSR_P0_ACT_C3Y,GSR_P0_ADJ_C1M,GSR_P0_ADJ_C1Y,GSR_P0_ADJ_C3Y,GSR_P0_EXP_C1M,GSR_P0_EXP_C1Y,GSR_P0_EXP_C3Y,GSR_P0_N_C1M,GSR_P0_N_C1Y,YEAR,MONTH
University of North Carolina Hospitals (NCMH),NCMH,TX1,2019-01-06 18:00:00,LU,1,2,7,96.969696969697,93.2400932400932,70.8333333333333,97.1781793786577,87.7436945047346,71.4906374771654,0.886092476219664,3.57329312045681,6.54676560067756,33,33,24,0,0,0,100,100,0,96.3133906508812,83.45367742985,0,0.150251301758972,0.55555084141589,0,4,4,2018,11
The Nebraska Medical Center (NEUN),NEUN,TX1,2019-01-06 18:00:00,LU,0,2,0,100,87.843137254902,0,97.5118783525103,89.0750637501097,0,0.428882245483472,1.72933221866016,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Newark Beth Israel Medical Center (NJBI),NJBI,TX1,2019-01-06 18:00:00,LU,3,7,2,93.3333333333333,83.4418256640479,60,97.3084601260421,88.2350806267061,73.8392242401106,1.18533214028727,4.81672801720024,1.01024935989976,45,45,5,0,0,0,100,100,0,96.3133906508812,83.45367742985,0,0.0375628254397431,0.180878469387439,0,1,1,2018,11
NY Presbyterian Hospital/Columbia Univ. Medical Center (NYCP),NYCP,TX1,2019-01-06 18:00:00,LU,4,15,44,97.6331360946746,89.7919694472277,71.1494873178629,97.5505238758765,89.2140510130724,69.2596448175114,4.1513519580968,17.0816039865819,47.9581917208801,169,169,153,0,0,0,100,100,100,96.3133906508812,83.45367742985,60.9820864727291,0.0375628254397431,0.180878469387439,0.989180058648198,1,1,2018,11
Montefiore Medical Center (NYMA),NYMA,TX1,2019-01-06 18:00:00,LU,0,0,0,100,100,0,97.7590410635609,90.0947133507184,0,0.113391764217218,0.304472150855713,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
The Cleveland Clinic Foundation (OHCC),OHCC,TX1,2019-01-06 18:00:00,LU,7,36,67,97.5,85.4818011257036,72.6825526072669,97.3703098198901,88.4990022766609,70.8241964607304,7.38102326296213,29.3099724297274,71.5311879182103,280,280,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Nationwide Children's Hospital (OHCH),OHCH,TX1,2019-01-06 18:00:00,LU,0,0,1,100,100,66.6666666666667,97.5330294932156,89.1415650620148,77.3347683926026,0.149971507630558,0.636802944971199,0.685176121274727,6,6,3,0,0,3,0,0,40,0,0,60.9820864727291,0,0,1.50554828223232,0,0,2018,11
Children's Hospital Medical Center (OHCM),OHCM,TX1,2019-01-06 18:00:00,LU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,100,75,0,96.3133906508812,83.45367742985,60.9820864727291,0.300502603517945,1.1645740275324,0.317454623139681,8,8,2018,11
Ohio State University Medical Center (OHOU),OHOU,TX1,2019-01-06 18:00:00,LU,2,12,16,97.7272727272727,84.5007451564829,60.4708377518558,97.5403552376896,89.1835598123545,73.1153171187879,2.1158223933189,8.15574252821158,11.0162858280073,88,88,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
University Hospitals of Cleveland (OHUH),OHUH,TX1,2019-01-06 18:00:00,LU,2,2,0,88.2352941176471,88.2352941176471,100,97.6371800876505,89.5740573686814,73.8816588879272,0.384361272803734,1.52877345111899,0.579429504426604,17,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Integris Baptist Medical Center (OKBC),OKBC,TX1,2019-01-06 18:00:00,LU,5,10,17,92.4242424242424,83.973063973064,64.6530612244898,97.4720475966066,88.8824459508908,70.5556597333878,1.60839939626852,6.17400693453619,13.6151249311622,66,66,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
UPMC Children's Hospital of Pittsburgh (PACH),PACH,TX1,2019-01-06 18:00:00,LU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,80,83.3333333333333,96.3133906508812,83.45367742985,60.9820864727291,0.187814127198715,0.696419307402028,2.73776152290914,5,5,2018,11
Children's Hospital of Philadelphia (PACP),PACP,TX1,2019-01-06 18:00:00,LU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,90,90,70.5882352941177,96.3133906508812,83.45367742985,60.9820864727291,0.35667048260947,1.47854824200487,7.03081883723331,10,10,2018,11
University of Pittsburgh Medical Center (PAPT),PAPT,TX1,2019-01-06 18:00:00,LU,4,18,66,97.4842767295598,87.6274804309185,69.6570598692822,97.3064103201157,88.2684761498966,71.0096125830093,4.26244594715861,17.4120343619479,61.570913526919,159,159,219,0,0,0,0,0,100,0,0,60.9820864727291,0,0,0.494590029324099,0,0,2018,11
Temple University Hospital (PATU),PATU,TX1,2019-01-06 18:00:00,LU,9,36,38,96.6666666666667,85.385466361048,67.0098703988975,97.1214468118456,87.4564547847482,68.7903041743823,7.81454337255232,29.4256271871075,35.0099379110075,270,270,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Hospital of the University of Pennsylvania (PAUP),PAUP,TX1,2019-01-06 18:00:00,LU,5,21,37,97.7578475336323,89.6445852845624,68.3348779734322,97.5499345120699,89.2088142082033,71.4537489100243,5.4877637112688,21.8085748439028,31.9232019437915,223,223,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Medical University of South Carolina (SCMU),SCMU,TX1,2019-01-06 18:00:00,LU,0,4,6,100,87,62.5,97.5758334113884,89.3084009433956,73.2841859876227,0.785510585162236,3.13200604355147,3.44252920638927,32,32,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Vanderbilt University Medical Center (TNVU),TNVU,TX1,2019-01-06 18:00:00,LU,2,8,13,96.6101694915254,85.6833754056978,78.3333333333333,97.5784557416496,89.3277252542137,73.4097544030808,1.42392062056026,5.94716405938485,16.1596725791083,59,59,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
"University Hospital, University of Texas Health Science Center (TXBC)",TXBC,TX1,2019-01-06 18:00:00,LU,1,4,23,98.936170212766,95.2222427125034,72.8294409508867,97.6219601268509,89.5113707651278,70.637617130949,2.2584197804193,9.47879482225103,25.4576755617911,94,94,86,0,0,0,100,100,100,96.3133906508812,83.45367742985,60.9820864727291,0.0375628254397431,0.0968969513205059,0.989180058648198,1,1,2018,11
"Memorial Hermann Hospital, University of Texas at Houston (TXHH)",TXHH,TX1,2019-01-06 18:00:00,LU,0,1,0,100,94.1176470588235,0,97.5734922862579,89.3027404548734,0,0.417761170437684,1.69866454961509,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI),TXHI,TX1,2019-01-06 18:00:00,LU,2,9,12,97.9166666666667,89.597602739726,73.9130434782609,97.6288553684462,89.5337690160949,70.6231417579537,2.28857417201348,9.22637255085909,13.9618444065838,96,96,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
University of Texas Medical Branch at Galveston (TXJS),TXJS,TX1,2019-01-06 18:00:00,LU,0,0,0,0,0,100,0,0,69.7776356734488,0,0,1.32611798721623,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Houston Methodist Hospital (TXMH),TXMH,TX1,2019-01-06 18:00:00,LU,4,12,80,97.6331360946746,91.8969142745367,63.9497770511471,97.5594023964029,89.2458199058315,68.5690677007299,4.13414122895535,16.4300563931458,65.3949541619462,169,169,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
UT Southwestern Medical Center/ (TXSP),TXSP,TX1,2019-01-06 18:00:00,LU,1,9,49,99.4350282485876,93.9485973678195,69.3693693693694,97.5301331795376,89.1575872571895,70.9693803272928,4.4059088550935,17.9254909493751,46.134392027334,177,177,160,0,0,2,100,100,33.3333333333333,96.3133906508812,83.45367742985,60.9820864727291,0.0375628254397431,0.0968969513205059,0.965765134948335,1,1,2018,11
Scott and White Memorial Hospital (TXSW),TXSW,TX1,2019-01-06 18:00:00,LU,0,0,5,0,0,50,0,0,70.350921121068,0,0,1.98529158634457,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Texas Children's Hospital (TXTC),TXTC,TX1,2019-01-06 18:00:00,LU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,100,93.3333333333333,63.9904610492846,96.3133906508812,83.45367742985,60.9820864727291,0.788819334234605,3.25954777464802,15.0062293041805,21,21,2018,11
Baylor University Medical Center (TXTX),TXTX,TX1,2019-01-06 18:00:00,LU,2,13,28,97.979797979798,84.9556167737986,63.9722222222222,97.4962501905076,89.0067201037163,71.4203949417209,2.47967774877318,9.57235805336499,21.1273860253092,99,99,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
University of Utah Medical Center (UTMC),UTMC,TX1,2019-01-06 18:00:00,LU,1,7,14,97.7777777777778,83.0555555555555,63.1578947368421,97.3519942417303,88.3847023534493,67.969076175708,1.2071320948433,4.26428103918232,12.8955193361455,45,45,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Inova Fairfax Hospital (VAFH),VAFH,TX1,2019-01-06 18:00:00,LU,0,4,22,100,91.0931174089069,66.6666666666666,97.4748563480035,88.8900505376701,70.2619786079582,1.33055535705873,5.29705584340271,19.5785686638464,52,52,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
University of Virginia Health Sciences Center (VAUV),VAUV,TX1,2019-01-06 18:00:00,LU,3,8,4,94.5454545454545,85.4158607350097,88.8888888888889,97.5670948103624,89.2785214099906,71.1639304763367,1.31936516762643,5.15755162693003,11.3225594795649,55,55,36,0,0,0,100,100,0,96.3133906508812,83.45367742985,0,0.0375628254397431,0.180878469387439,0,1,1,2018,11
University of Washington Medical Center (WAUW),WAUW,TX1,2019-01-06 18:00:00,LU,1,12,29,99.2248062015504,90.2029082061955,76.1549378781136,97.5483907797971,89.2011130937397,71.9191110575816,3.19053319214858,12.7491132751816,33.784966570582,129,129,122,0,0,0,100,100,100,96.3133906508812,83.45367742985,60.9820864727291,0.0375628254397431,0.180878469387439,0.989180058648198,1,1,2018,11
Froedtert Memorial Lutheran Hospital (WISE),WISE,TX1,2019-01-06 18:00:00,LU,2,4,6,91.6666666666667,82.6388888888889,79.8611111111111,97.3317979580908,88.3068556109348,73.2140357153813,0.638488598875891,2.47431272767158,8.0765101036753,24,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
University of Wisconsin Hospital and Clinics (WIUW),WIUW,TX1,2019-01-06 18:00:00,LU,2,7,19,97.1830985915493,89.7887323943662,76.0707288401254,97.6181719831027,89.4905197778098,73.284783807734,1.67758165490312,6.78148445677952,21.2125470824382,71,71,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
University of Alabama Hospital (ALUA),ALUA,TX1,2019-07-07 19:00:00,LU,1,5,13,97.5609756097561,87.1320437342305,71.7391304347826,97.3989086541044,89.1807338827948,69.9876361953126,1.03855561563517,3.91653020639586,13.5768555996755,41,41,46,0,0,1,100,100,0,96.4444682863691,85.0236645190924,58.0192781654309,0.036202801455095,0.162240562138594,0.456516002682743,1,1,2019,5
Mayo Clinic Hospital (AZMC),AZMC,TX1,2019-07-07 19:00:00,LU,1,3,0,80,40,0,96.6592213576934,86.3660713934799,0,0.140654025097259,0.360293258415302,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
St. Joseph's Hospital and Medical Center (AZSJ),AZSJ,TX1,2019-07-07 19:00:00,LU,4,17,65,98.4126984126984,92.9029318834822,67.556969743225,97.2463116574641,88.6323538415703,70.1462388872807,7.01886475647427,26.5208039984599,61.3150787269215,252,252,203,0,1,0,100,66.6666666666667,0,96.4444682863691,85.0236645190924,0,0.108608404365285,0.486721686415782,0,3,3,2019,5
Banner University Medical Center-Tucson (AZUA),AZUA,TX1,2019-07-07 19:00:00,LU,3,5,4,94.5454545454545,90.9090909090909,35.7142857142857,96.8048476846811,87.1138662183722,73.192999481016,1.5502913892864,5.30938455607367,1.30895602079605,55,55,7,0,0,1,0,0,0,0,0,58.0192781654309,0,0,0.402271895561924,0,0,2019,5
Cedars-Sinai Medical Center (CACS),CACS,TX1,2019-07-07 19:00:00,LU,2,5,15,94.5945945945946,86.003861003861,64.446358503206,97.0179883555735,87.8087898089753,68.0549719763183,0.988642445004332,3.81707412848241,12.3322308012288,37,37,43,0,0,1,0,0,0,0,0,58.0192781654309,0,0,0.148525990412091,0,0,2019,5
Lucile Salter Packard Children's Hospital at Stanford (CAPC),CAPC,TX1,2019-07-07 19:00:00,LU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,85.7142857142857,66.6666666666667,96.4444682863691,85.0236645190924,58.0192781654309,0.253419610185665,0.940045882917547,1.19750976565501,7,7,2019,5
University of California San Diego Medical Center (CASD),CASD,TX1,2019-07-07 19:00:00,LU,0,4,17,100,90.0255754475703,63.1827363057493,97.468496584772,89.4816720689817,71.0777329664553,1.18106251972709,4.4651698635227,11.2000812534676,46,46,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
University of California San Francisco Medical Center (CASF),CASF,TX1,2019-07-07 19:00:00,LU,2,6,15,98.5185185185185,95.4071983062809,86.0536372252888,97.0719733426308,87.9324375210029,71.271014853102,3.99763859375184,15.6379061246264,33.9721247561016,135,135,109,0,0,0,100,100,100,96.4444682863691,85.0236645190924,58.0192781654309,0.07240560291019,0.166762023020445,0.544394848505784,2,2,2019,5
Stanford Health Care (CASU),CASU,TX1,2019-07-07 19:00:00,LU,3,17,26,97.4576271186441,84.456033608576,70.8055680210556,97.2742831424684,88.8424401209024,71.7891033620607,3.2307332721307,11.691962071764,26.2193290709273,118,118,92,0,0,0,100,100,0,96.4444682863691,85.0236645190924,0,0.036202801455095,0.162240562138594,0,1,1,2019,5
University of California at Los Angeles Medical Center (CAUC),CAUC,TX1,2019-07-07 19:00:00,LU,2,17,52,99.0566037735849,90.8948084236036,72.8045246249177,97.4515465557355,89.3917234338753,71.9706745830324,5.44455011719197,20.9738517538271,54.9738543440433,212,212,196,0,0,0,0,0,100,0,0,58.0192781654309,0,0,0.544394848505784,0,0,2019,5
Keck Hospital of USC (CAUH),CAUH,TX1,2019-07-07 19:00:00,LU,0,4,17,100,84.6774193548387,58.8507936507937,97.3588300042931,89.0985781709416,70.0384550982747,0.832218628443164,3.15825971159625,11.3132903738825,31,31,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
University of Colorado Hospital/Health Science Center (COUC),COUC,TX1,2019-07-07 19:00:00,LU,3,9,11,96.2962962962963,87.4888493936113,82.8125,97.5508435093243,89.7785699797966,71.7985733605157,1.99976276424203,7.0552807717302,19.3155684657067,81,81,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
AdventHealth Orlando (FLFH),FLFH,TX1,2019-07-07 19:00:00,LU,0,5,5,100,88.4078070561174,54.5454545454545,97.4317159419037,89.3280664371709,62.7309003776658,1.22422405852424,4.68811386726714,4.00200824601124,47,47,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
Jackson Memorial Hospital University of Miami School of Medicine (FLJM),FLJM,TX1,2019-07-07 19:00:00,LU,2,8,2,94.4444444444444,77.7777777777778,85.5555555555556,97.2829877451989,88.8020213142599,71.0307570595941,0.979897913075783,3.22515806469248,4.69526507097738,36,36,15,0,1,0,100,50,0,96.4444682863691,85.0236645190924,0,0.07240560291019,0.283920827137944,0,2,2,2019,5
Mayo Clinic Florida (FLSL),FLSL,TX1,2019-07-07 19:00:00,LU,2,12,21,98.0769230769231,86.292917013838,78.1712721336533,97.4010586293456,89.2088949443913,70.9161620479387,2.7186883137353,10.2782807190295,29.0271830828335,104,104,98,0,0,0,100,100,100,96.4444682863691,85.0236645190924,58.0192781654309,0.036202801455095,0.162240562138594,0.544394848505784,1,1,2019,5
Tampa General Hospital (FLTG),FLTG,TX1,2019-07-07 19:00:00,LU,2,9,28,98.2758620689655,91.3219392046137,63.1263062620923,97.2470393444682,88.6097378192297,70.092557527785,3.20838195760449,12.2175708384338,22.5811889242799,116,116,90,0,1,0,100,0,0,96.4444682863691,85.0236645190924,0,0.036202801455095,0.0833810115102227,0,1,1,2019,5
UF Health Shands Hospital (FLUF),FLUF,TX1,2019-07-07 19:00:00,LU,2,10,15,98.4126984126984,90.1966742402755,71.840354767184,97.5827781468991,89.907878921952,72.9644688535424,3.06462589770258,11.3836866986692,14.5560012277427,126,126,55,0,1,2,100,88.8888888888889,33.3333333333333,96.4444682863691,85.0236645190924,58.0192781654309,0.325825213095855,1.13511147211848,0.959522158465772,9,9,2019,5
Emory University Hospital (GAEM),GAEM,TX1,2019-07-07 19:00:00,LU,2,11,15,95.4545454545455,73.5795454545455,75.7392473118279,97.5728347877819,89.8822823515027,72.4129013626925,1.06086127626355,3.84921596438954,16.7617284021248,44,44,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
University of Iowa Hospitals and Clinics Transplant Programs (IAIV),IAIV,TX1,2019-07-07 19:00:00,LU,0,1,7,100,96.1538461538462,80.5555555555556,97.633945445547,90.1278241254934,75.8328127550416,0.790875709638496,3.08495315702609,8.67965108903585,33,33,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
Advocate Christ Medical Center (ILCH),ILCH,TX1,2019-07-07 19:00:00,LU,2,4,1,88.2352941176471,71.301247771836,88.8888888888889,97.3740424089904,89.102009903709,71.7478093121296,0.409963249611713,1.48482045248713,2.74758355107053,17,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
Loyola University Medical Center (ILLU),ILLU,TX1,2019-07-07 19:00:00,LU,1,13,40,98.989898989899,84.7548212162738,64.3298845182816,96.7979765647222,86.9328779331343,71.9560013923296,3.21251971318833,12.3843930300291,30.0047991246831,99,99,113,0,0,1,0,0,66.6666666666667,0,0,58.0192781654309,0,0,1.63318454551735,0,0,2019,5
Northwestern Memorial Hospital (ILNM),ILNM,TX1,2019-07-07 19:00:00,LU,1,5,6,97.3684210526316,84.0643274853801,73.9130434782609,97.4613936791181,89.4491559024694,72.1284172416375,0.957576173883247,3.59092199553927,5.51302661123383,38,38,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
University of Chicago Medical Center (ILUC),ILUC,TX1,2019-07-07 19:00:00,LU,5,11,22,91.0714285714286,78.914456407563,61.8822919367384,97.1383496998387,88.4856627837238,73.2642816160153,1.42840174334772,4.90003036251361,14.3984508155297,56,56,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
Indiana University Health (INIM),INIM,TX1,2019-07-07 19:00:00,LU,4,12,34,97.2789115646258,91.3403199117485,76.6309507663095,97.4670600340437,89.5151614205285,73.4509695730216,3.70610622229083,13.9146946235016,39.008501865011,147,147,146,0,0,0,0,0,100,0,0,58.0192781654309,0,0,0.544394848505784,0,0,2019,5
Jewish Hospital (KYJH),KYJH,TX1,2019-07-07 19:00:00,LU,0,1,18,100,97.3684210526316,53.4722222222222,96.8923045314534,87.2755886678715,69.6247286962963,1.20335949883597,4.73604103538225,9.45154123706892,38,38,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
University of Kentucky Medical Center (KYUK),KYUK,TX1,2019-07-07 19:00:00,LU,3,4,3,94.8275862068965,92.6724137931034,90,97.2561103901021,88.7380664703721,70.2873357177264,1.51684475087434,5.78157218886493,9.92412411985158,58,58,30,0,0,0,0,0,100,0,0,58.0192781654309,0,0,1.08878969701157,0,0,2019,5
Ochsner Foundation Hospital (LAOF),LAOF,TX1,2019-07-07 19:00:00,LU,2,12,25,97.1014492753623,81.5351583467525,60.7244318181818,97.6023152301125,89.9874884544367,72.6592960119833,1.63690185166924,6.25805048668564,15.6977331288617,69,69,64,0,0,1,100,100,50,96.4444682863691,85.0236645190924,58.0192781654309,0.07240560291019,0.324481124277188,0.643499532533843,2,2,2019,5
Boston Children's Hospital (MACH),MACH,TX1,2019-07-07 19:00:00,LU,0,0,2,100,100,50,97.928049445616,91.2929987319588,43.4699586701678,0.0628216913864984,0.221149187339161,2.35735368333321,3,3,4,3,5,3,70,48,62.5,96.4444682863691,85.0236645190924,58.0192781654309,0.325579472597821,0.980991242582982,3.23059449117904,10,10,2019,5
Massachusetts General Hospital (MAMG),MAMG,TX1,2019-07-07 19:00:00,LU,2,7,20,97.9591836734694,92.0297848869277,57.2831423895254,97.4248738682144,89.3295982224162,70.1812083349964,2.5233495941789,9.61147543363142,13.4368376522895,98,98,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
Brigham and Women's Hospital (MAPB),MAPB,TX1,2019-07-07 19:00:00,LU,3,11,14,98.0263157894737,91.9725398242961,80,97.6315767206243,90.1090058376791,71.9038642667186,3.58982480279931,13.9611521808984,19.7807191391885,152,152,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
Johns Hopkins Hospital (MDJH),MDJH,TX1,2019-07-07 19:00:00,LU,0,1,12,100,98.0392156862745,75.4550468836183,97.6276329691032,90.1179070267449,72.302438302071,1.56282817280182,6.1878615253479,12.3484986494223,65,65,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
University of Maryland Medical System (MDUM),MDUM,TX1,2019-07-07 19:00:00,LU,2,9,31,97.3684210526316,87.3083359272069,60.6530752266601,96.1256229629782,84.5312329469614,66.9627097427507,3.00252231853215,11.5832991269301,25.2931302925163,76,76,80,0,0,0,0,0,100,0,0,58.0192781654309,0,0,1.08878969701157,0,0,2019,5
Henry Ford Hospital (MIHF),MIHF,TX1,2019-07-07 19:00:00,LU,3,6,11,95.1612903225806,89.1972993248312,76.3157894736842,97.0129060062604,87.6754197124294,68.9775579233971,1.85418751742484,6.68786624929301,15.1264534796875,62,62,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
Spectrum Health (MISH),MISH,TX1,2019-07-07 19:00:00,LU,2,2,9,96.7213114754098,96.7213114754098,80,97.4176782244454,89.2758373613065,68.8786208617025,1.54937114795341,6.05300762858913,14.7227469207962,61,61,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
University of Michigan Medical Center (MIUM),MIUM,TX1,2019-07-07 19:00:00,LU,1,5,23,98.6301369863014,92.017236464848,73.5076010381906,97.425508037641,89.3208645634077,73.161749241286,1.89399512313555,7.34516135402284,22.4063891224166,73,73,87,0,0,1,0,0,0,0,0,58.0192781654309,0,0,0.222130902030308,0,0,2019,5
Saint Marys Hospital (Mayo Clinic) (MNSM),MNSM,TX1,2019-07-07 19:00:00,LU,0,0,9,100,100,64.1025641025641,97.6774891717623,90.285369141923,72.6010907394767,0.658173384441353,2.6560544297954,7.18994584394269,28,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
"University of Minnesota Medical Center, Fairview (MNUM)",MNUM,TX1,2019-07-07 19:00:00,LU,9,16,39,92.9133858267717,86.6912672501303,71.6908212560387,97.5332350703111,89.716723751163,72.9738728928129,3.02627356508901,11.4462665134875,35.757708215192,127,127,138,0,0,0,100,100,100,96.4444682863691,85.0236645190924,58.0192781654309,0.036202801455095,0.162240562138594,0.544394848505784,1,1,2019,5
Barnes-Jewish Hospital (MOBH),MOBH,TX1,2019-07-07 19:00:00,LU,2,15,28,99.0697674418605,92.71333909768,82.6363012493173,97.4895695062808,89.5794566257565,72.3031150551525,5.45304197370529,21.2321947451119,46.7144357545974,215,215,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
St. Louis Children's Hospital (MOCH),MOCH,TX1,2019-07-07 19:00:00,LU,0,1,2,100,50,33.3333333333333,96.1319280217637,84.511507527514,49.6639127482239,0.0793708278725661,0.174999871766915,1.18068830605102,2,2,3,0,1,8,100,93.3333333333333,22.7272727272727,96.4444682863691,85.0236645190924,58.0192781654309,0.687853227646805,2.70093115533953,3.2034273458192,19,19,2019,5
Duke University Hospital (NCDU),NCDU,TX1,2019-07-07 19:00:00,LU,5,26,93,98,88.6408112176682,64.778786352503,97.3304963455807,88.9283254056545,70.0925693448417,6.70276734876987,24.9568713280347,74.9263837635876,250,250,270,0,0,1,0,0,0,0,0,58.0192781654309,0,0,0.289952775400553,0,0,2019,5
University of North Carolina Hospitals (NCMH),NCMH,TX1,2019-07-07 19:00:00,LU,2,4,9,94.8717948717949,89.7435897435898,67.8571428571429,96.9413107566631,87.5733961594646,72.5787253859568,1.11210875224766,4.08547053982353,7.18444944418604,39,39,28,0,0,0,100,100,0,96.4444682863691,85.0236645190924,0,0.14481120582038,0.648962248554376,0,4,4,2019,5
The Nebraska Medical Center (NEUN),NEUN,TX1,2019-07-07 19:00:00,LU,0,2,0,100,90,0,97.160483012803,88.326617266849,0,0.722430646055864,2.44010457130209,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
Newark Beth Israel Medical Center (NJBI),NJBI,TX1,2019-07-07 19:00:00,LU,3,8,2,93.1818181818182,80.3571428571428,77.7777777777778,97.0975271068822,88.073889203831,70.9887109638785,1.25167400769731,4.76229080413453,2.58237877101893,44,44,9,0,0,1,0,0,0,0,0,58.0192781654309,0,0,0.169039350395259,0,0,2019,5
NY Presbyterian Hospital/Columbia Univ. Medical Center (NYCP),NYCP,TX1,2019-07-07 19:00:00,LU,5,16,42,97.2375690607735,89.6605533579609,73.0136023018048,97.2994049688552,88.8214904177772,70.607326109733,4.91859842634541,18.3227157727371,46.7564299445402,181,181,157,0,0,0,100,100,100,96.4444682863691,85.0236645190924,58.0192781654309,0.07240560291019,0.245621573648817,0.544394848505784,2,2,2019,5
Montefiore Medical Center (NYMA),NYMA,TX1,2019-07-07 19:00:00,LU,2,3,0,89.4736842105263,71.5789473684211,0,97.5237332760485,89.6692902064065,0,0.466893142191737,1.29423489827636,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
New York University Medical Center (NYUC),NYUC,TX1,2019-07-07 19:00:00,LU,0,1,0,100,85.7142857142857,0,97.0366323966799,87.7863767423159,0,0.210909606728574,0.470737156903698,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
The Cleveland Clinic Foundation (OHCC),OHCC,TX1,2019-07-07 19:00:00,LU,8,40,57,97.3154362416107,84.8121130270946,76.3366875187424,97.1816212773297,88.4280343177146,71.7039917754502,8.42301209893116,31.490602778881,69.4632687019293,298,298,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,5
Nationwide Children's Hospital (OHCH),OHCH,TX1,2019-07-07 19:00:00,LU,0,0,2,100,100,33.3333333333333,97.422083140287,89.3020108793087,69.1913748650568,0.130776205408318,0.551949465682493,0.916906635104613,5,5,3,0,0,3,100,100,25,96.4444682863691,85.0236645190924,58.0192781654309,0.036202801455095,0.0833810115102227,1.15091178118003,1,1,2019,5
